rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
180,frame_0073.jpg,29.2,0.3698,0.3396,0.0,1.0,12,0,False,False
181,frame_0211.jpg,84.4,0.3696,0.4081,0.125,0.64,8,1,False,False
182,frame_0374.jpg,149.6,0.3689,0.5827,0.125,0.2,18,1,False,False
183,frame_0301.jpg,120.4,0.3664,0.4818,0.125,0.44,11,1,False,False
184,frame_0077.jpg,30.8,0.3643,0.3765,0.0,0.88,13,0,False,False
185,frame_0309.jpg,123.6,0.3607,0.5984,0.125,0.12,11,1,False,False
186,frame_0282.jpg,112.8,0.3591,0.3762,0.25,0.48,10,2,False,False
187,frame_0205.jpg,82.0,0.3544,0.3458,0.125,0.72,5,1,False,False
188,frame_0271.jpg,108.4,0.3539,0.4668,0.375,0.04,9,3,False,False
189,frame_0112.jpg,44.8,0.3527,0.4003,0.375,0.2,13,3,False,False
190,frame_0181.jpg,72.4,0.3512,0.6114,0.125,0.04,10,1,False,False
191,frame_0079.jpg,31.6,0.3508,0.3066,0.125,0.8,12,1,False,False
192,frame_0393.jpg,157.2,0.3486,0.5312,0.25,0.04,11,2,False,False
193,frame_0103.jpg,41.2,0.3481,0.4073,0.375,0.16,13,3,False,False
194,frame_0273.jpg,109.2,0.3472,0.4214,0.375,0.12,18,3,False,False
195,frame_0202.jpg,80.8,0.347,0.379,0.125,0.6,6,1,False,False
196,frame_0008.jpg,3.2,0.3461,0.2922,0.0,1.0,7,0,False,False
197,frame_0214.jpg,85.6,0.3442,0.4054,0.125,0.52,8,1,False,False
198,frame_0303.jpg,121.2,0.3421,0.3902,0.25,0.36,13,2,False,False
199,frame_0013.jpg,5.2,0.3408,0.2816,0.0,1.0,5,0,False,False
200,frame_0097.jpg,38.8,0.3406,0.4991,0.25,0.08,14,2,False,False
201,frame_0102.jpg,40.8,0.3405,0.333,0.5,0.12,13,4,False,False
202,frame_0228.jpg,91.2,0.3404,0.4398,0.375,0.04,12,3,False,False
203,frame_0012.jpg,4.8,0.3394,0.2788,0.0,1.0,6,0,False,False
204,frame_0226.jpg,90.4,0.339,0.5871,0.125,0.04,14,1,False,False
205,frame_0285.jpg,114.0,0.3382,0.2865,0.25,0.6,10,2,False,False
206,frame_0296.jpg,118.4,0.3363,0.3415,0.125,0.64,11,1,False,False
207,frame_0398.jpg,159.2,0.336,0.426,0.25,0.24,13,2,False,False
208,frame_0195.jpg,78.0,0.3351,0.3921,0.25,0.32,8,2,False,False
209,frame_0294.jpg,117.6,0.3346,0.3062,0.125,0.72,10,1,False,False
210,frame_0111.jpg,44.4,0.3345,0.38,0.375,0.16,11,3,False,False
211,frame_0370.jpg,148.0,0.3335,0.5009,0.25,0.04,24,2,False,False
212,frame_0219.jpg,87.6,0.3325,0.462,0.125,0.32,7,1,False,False
213,frame_0085.jpg,34.0,0.3277,0.2814,0.25,0.56,11,2,False,False
214,frame_0292.jpg,116.8,0.3271,0.3341,0.0,0.8,11,0,False,False
215,frame_0015.jpg,6.0,0.3263,0.2525,0.0,1.0,7,0,False,False
216,frame_0225.jpg,90.0,0.326,0.4699,0.25,0.08,12,2,False,False
217,frame_0231.jpg,92.4,0.3225,0.431,0.25,0.16,16,2,False,False
218,frame_0087.jpg,34.8,0.32,0.373,0.125,0.48,8,1,False,False
219,frame_0209.jpg,83.6,0.3187,0.2745,0.125,0.72,9,1,False,False
220,frame_0093.jpg,37.2,0.3094,0.4478,0.125,0.24,10,1,False,False
221,frame_0106.jpg,42.4,0.3086,0.5262,0.125,0.04,15,1,False,False
